id,language,l0,l1,l2,text
ocds-0c46vo-0005-39393_Tender_39393,en,social_policy,population_dynamics,education,"The Calderdale  Kirklees Posture and Mobility Service is commissioned and jointly funded by NHS Calderdale Greater Huddersfield and North Kirklees Clinical Commissioning Groups CCGs.  The service provides equipment to meet the postural and mobility needs of all people who are eligible to receive NHS services within Kirklees and Calderdale.   This does predominately mean wheelchairs and specialist postural seating.   As part of the commissioning cycle the CCGs would like to gather information and opinions from experienced service providers to help us to develop the service and be prepared to deal with future demands.  In common with other parts of the country demand for posture and mobility equipment is growing due to an ageing population and increasing numbers of children with more complex needs.  As budgets are not increasing at the same rate we need to make the best use of the funding we have.  "
ocds-0c46vo-0005-40737_Tender_40737,en,information_policy,building_services,energy_policy,"The Countess of Chester Hospital NHS Foundation Trust through its Commercial Procurement Services wishes to award a national framework agreement for the supply of Smart Heating Systems.  Smart Heating systems incorporate control and communications technology with energy-saving heating systems to reduce costs and carbon emissions associated with heating.  Solutions primarily involve the installation of high-efficiency heaters that are connected via a buildings electrical circuit andor wirelessly to each other and to external analytics and control centres enabling monitoring and control of energy usage system status reporting and software updates.  The system will be scalable with units working individually and together to create a coherent platform for managing buildings to drive efficiencies across estates.  The system should require zero maintenance input from the end-user and approach as close as possible a heating as a service model.   This will be a framework agreement with no commitment or guaranteed level of business.   An extract of the full set of ITT documents is attached to this opportunity listing.   The full ITT can be viewed by logging in to your NHS Sourcing account and expressing interest in this opportunity.   Responses must only be made through the NHS Sourcing portal.  "
ocds-0c46vo-0005-40993_Tender_40993,en,communications_systems,information_service,communications_industry,"One warehouse fulfilment and distribution provider for the storage of AHDB publications and materials.  Scheduled and bespoke mail outs of printed material and technical kits on demand to timelines as specified.  Bespoke ordering communication and reporting systems  including the need to answer phone calls and emails on behalf of AHDB sectors with a designated phone line and email address.  "
ocds-0c46vo-0005-41008_Tender_41008,en,health_policy,social_policy,public_opinion,"Mental illness disproportionately affects young people  over half of mental health problems start by the age of 14 and 75 per cent by the age of 18.  Just as with physical health there is a duty to make sure that young people who are struggling with their mental health have access to all the support and care that they need including within schools.   1. 2 A Government Teacher Voice survey in 2016 found that only just over half 57 of teachers said they felt equipped to identify behaviour that may be linked to a mental health issue and only 40 of teachers said they felt equipped to teach children in the classroom with mental health needs.   1. 3 That is why In January 2017 the Prime Minister committed to having mental health first aid awareness training available to all secondary schools aiming to have trained at least one teacher in every secondary school by 2020 to help spot the early symptoms of mental health issues and make sure that the child receives the support they need "
ocds-0c46vo-0005-41036_Tender_41036,en,machinery,pressure_equipment,ports_policy,"Provision of statutory inspection of lifts and ad hoc design service to FCO premises overseas where they have a responsibility for lift installation.  This includes the identification of hazards assessment of the risks and the implementation of necessary control measures.  "
ocds-0c46vo-0005-41074_Tender_41074,en,research_policy,means_of_communication,military_equipment,"The BBC is launching a new multi-supplier design research framework to replace the existing agreement which expires in June 2019.  The new framework Design Research Framework II will provide the BBC with access to a range of specialist design research service providers.    Design research ensures the audience are at the heart of the BBC online taking insights and using them to empower decision-making and create products that our audience love to use.   Successful service providers awarded a place on the framework will have experience and capability to meet all the BBCs distinct design research requirements The framework will provide BBC with additional design research expertise through a framework of capable and qualified external service providers.  The service providers will conduct design research services across the BBCs online portfolio including News Sport Weather Childrens Education Radio and Music iPlayer Interactive TV Homepage alongside the systems and services that power these projects.    Service providers will work on a range of projects including research when no internal resource is available or where a distinct specialism andor technology of an external service provider is required.  "
ocds-0c46vo-0005-41096_Tender_41096,en,public_contract,information_service,regions_of_the_United_Kingdom,"NHSBT is the commissioner responsible for providing funding infrastructure and contract management for the National Organ Retrieval Service.  NORS is comprised of several teams based at different transplant centres in England Wales and Scotland.  Teams must be competent to safely retrieve organs for the purpose of life-saving and life-enhancing transplant operations.  Tenderers are required to respond to this ITT on the basis of offering a solution which can meet the requirements as set out in the specification.  The objective of this tender is for the Authority to be able to purchase specific types of retrieval packs - basic abdominal and cardiothoracic.  These consumables are an essential requirement for the NORS teams to carry out the retrievals.  This Framework Agreement is for a period of 4 years.  It is the intention of NHSBT to award a Framework Agreement for these requirements by July 2019.  "
ocds-0c46vo-0005-41203_Tender_41203,en,leisure,regions_of_the_United_Kingdom,EU_body,"Mid  East Antrim Borough Council wishes to appoint a competent and experienced caterer for the Catering Lease at The Gobbins Visitor Centre Islandmagee Larne.  On request catering services must also be provided elsewhere onsite to facilitate community centre bookings alongside events.     The Gobbins lies at the Southern end of the Causeway Coastal Route which was recently awarded the Lonely Planets top 10 region in the world to visit in 2018.  The Gobbins and the Causeway Coastal Route have been marketed to an international audience with 52 of visitors in April-October 2018 coming from outside Northern Ireland.    The Gobbins has recently retained a 4 star rating equating to excellent by Tourism Northern Irelands Visitor Experience Grading Scheme and the appointed caterer will be expected to monitor and improve the service standards in line with the scheme.    The Gobbins Visitor Centre anticipates in the region of 47000 visitors annually for 201920 this does not include casual visitors or community centre users.  "
ocds-0c46vo-0005-41204_Tender_41204,en,UNO,fodder_plant,electrical_engineering,"The London Borough of Hillingdon intends to replace the existing Communal Lighting system at   1-27 Fairbourne House Bourne Avenue Hayes UB3 4EH 1-27 Tenby House Bourne Avenue Hayes UB3 1PP 1-8  Gloucester Parade Bourne Avenue Hayes UB3 1PR 1-18 Nevin House Bourne Avenue Hayes UB3 1QU  The blocks comprise of 80 dwellings spread across 4 Blocks of two  three floors.  The lighting systems manufacturer shall be Commulite Ltd or equally approved.   The new Communal Lighting System works will broadly comprise of the installation of 117 LED Light Emitting Diode luminaries supplied from 5 Control Panels with 5 local test positions.  The following drawings in Appendix 1 show the proposed locations of the control panels and luminaires and are to be read in conjunction with the specification  Fairbourne House  x 3 Drawings  Tenby House  Gloucester Parade  x 3 Drawings Nevin House x 1 Drawings Bourne Avenuel Estate Layout x 1 Drawing    It includes but not limited to the design supply and installation commissioning and hand-over of a complete Communal Lighting System with integrated emergency lighting.  It includes the provision of OM Manuals and training to Hillingdon Housing Service HHS representative in charge of the block.    The Installer is expected to provide his rates for the entire Schedule of Works SOW listed even if the work is to be performed by a sub-Installer or specialist Contractor.  It is the Tenderers responsibility to obtain the required rates from specialist sub-Contractors to complete the pricing schedule.   Access for Site Surveys to be via Tradesmen Button Mon -Fri 0900-1600  Contract duration 6 weeks lead in time and 6 weeks on site.  "
ocds-0c46vo-0005-41205_Tender_41205,en,UNO,fodder_plant,electrical_engineering,"The London Borough of Hillingdon intends to replace the existing Communal Lighting system at   1-27 Langthorne House Croyde Avenue UB3 4EH 1-30 Elizabeth Fry House Croyde Avenue UB3 4EL 1-12 Nightingale House Croyde Avenue UB3  1-30 Lister House Croyde Avenue UB3 4EP 1- 27 Gurney House Croyde Avenue UB3 4EW 1- 12 Dickens House Croyde Avenue UB3   The blocks comprise of 138 dwellings spread across 6 Blocks of two  three floors.  The lighting systems manufacturer will be Commulite Ltd or equally approved.   The new Communal Lighting System works will broadly comprise of the installation of 289 No.  LED Light Emitting Diode luminaries supplied from 10 No.  Control Panels with 10 No.  local test positions.  The following drawings in Appendix 1 show the proposed locations of the control panels and luminaires and are to be read in conjunction with the specification  Langthorne House x 2 Drawings  Elizabeth Fry House x 2 Drawings Nightingale House x 1 Drawings Lister House x 3 Drawings Gurney House x 2 Drawings Dickens House x 1 Drawings Croyde Avenue Estate Layout x 1 Drawing   It includes but not limited to the design supply and installation commissioning and hand-over of a complete Communal Lighting System with integrated emergency lighting.  It includes the provision of OM Manuals and training to Hillingdon Housing Service HHS representative in charge of the block.    The Installer is expected to provide his rates for the entire Schedule of Works SOW listed even if the work is to be performed by a sub-Installer or specialist Contractor.  It is the Tenderers responsibility to obtain the required rates from specialist sub-Contractors to complete the pricing schedule.    Access for Site Surveys to be via Tradesmen Button Mon -Fri 0900-1600  Contract duration 6 weeks lead in time and 6 weeks on site.  "
ocds-0c46vo-0005-41280_Tender_41280,en,built-up_area,social_policy,management,"The City wishes to procure a Childrens Centre system for the City of London and would like the solution to be implemented and operational by September 2019 to coincide with childrens centre review outlined above.   Information is currently captured using an Excel database.    The high level requirements of the systemsolution include    Registering childrens centre service users  Recording the details of and activities undertaken by the service user Reporting on the activities service user attributes and performance of the service delivery Ability to communicate with registered users Planning and timetabling of activities with bookable sessions Potential to share information or interface with other systems Potential to make use of innovative technology including to encourage service users to register encourage service providers to use the systems capabilities and support those without English as a first language.   This is an initial market engagement exercise to gauge the capacity and capability in the market for this type of software solution.   There will be a Meet the Buyer event on Friday 8th February 2019 to give an overview of the City it's requirements for this project and to answer any questions from attendees.  "
ocds-0c46vo-0007-40540587_Tender_40540587,en,building_industry,public_contract,water_policy,"About the Opportunity The subcontract works comprise of the construction of all piles.  Information to follow at tender stage.   About the buyer's selection process Shortlisted suppliers shall be invited to tender for this opportunity.  The invitation to tender pack will consist of the following documentation Site Information Scope of works Drawings  Specifications Technical details Terms and Conditions Supplier's Questionnaire  About the buyer The Thames Tideway Tunnel TTT is a significant new combined sewage storage and transfer system that will help protect the River Thames by tackling the problem of overflows from the capital's Victorian sewers.  The main tunnel a major component of the system will run from Acton in west London to Abbey Mills Pumping Station in east London controlling the most polluting combined sewer overflows CSOs by intercepting storing and conveying the discharges which currently flow into the river.  There are three separate Main Works contracts for the main tunnel West Central and East.   The TTT Central Contract comprises the construction of 8 no shafts and 2 no Tunnel drives from Kirtling Street to Chambers Wharf East Contractor Site and Carnwath Road West Contractor Site.  "
ocds-0c46vo-0009-DN341148-4_Tender_DN341148-4,en,population_dynamics,social_policy,health_policy,"Description A Dynamic Purchasing System for the Provision of Accommodation With Care A Dynamic Purchasing System for a full range of registered residential support.  The Providers will provide high quality safe and personalised accommodation with care that promotes choice dignity control and quality of life for all Residents and provide modernised care and support services that deliver value for money.  These Service Types fall into key areas Residential Nursing Dementia Learning Disabilities and Mental Health Physical Disabilities Continuing Health Care.  "
ocds-0c46vo-0009-DN349830-1_Tender_DN349830-1,en,built-up_area,social_policy,fruit,"The London Borough of Hackney City of London Corporation and the City and Hackney Clinical Commissioning Group CCG wishes to engagework in partnership with Providers to deliver a range of Short Breaks services for disabled children and young people in the City and Hackney.  The aim of the Di. . . es the first round of this DPS will close on 21st March 2019.  Providers will be able to express an interest for round 2 from 22nd March 2019 but will not be able to access tender documents until November 2019 when round 2 opens.  The applications for the DPS will continue to be accepted until 2024.  More. . .  "
ocds-0c46vo-0009-DN359933-1_Tender_DN359933-1,en,health_policy,research,public_opinion,"The Royal Marsden NHS Foundation Trust is a Specialist Oncology Centre seeking to appoint a supplier who will be able to deliver Haematology Laboratory Coagulation service. The service is provided to inpatients outpatients and day cases.  We do not provide GP or Anticoagulation Clinic services.  Th. . . arch.  There is currently a full haematology service at both sites site operating 24 hour 7 day cover.           The blood sciences department currently holds full UKAS accreditation under ISO 15189 and is enrolled in all relevant UK EQA schemes for tests conducted within its routine laboratories More. . .  "
ocds-0c46vo-0009-DN370863-2_Tender_DN370863-2,en,social_situation,social_policy,education,"1 The re-tendering of a number of existing supported living schemes known as Group Supported Living2 The appointment of a Development Partner to redesign and re-provide a number of supported living schemes3 Establish a framework agreement for provision of future supported living requirements for people with a learning disability "
ocds-0c46vo-0009-DN379053-2_Tender_DN379053-2,en,information_policy,arms_policy,energy_policy,"Thirteen are looking to procure a web based e-Sourcing solution to increase the efficiency and effectiveness of the procurement cycle with 247 availability.  We require an easy to use system with an unlimited number of users which adheres to EU legislation and promotes best practice within the UK public sector procurement community.  The contract term will be for 3 years with 2 x 12 month options to extend.  "
ocds-0c46vo-0009-DN384986-1_Tender_DN384986-1,en,technical_regulations,thermal_equipment,machinery financial_market,"Oldham Council would like to invite you to provide a quote for Safety Barrier Review.  "
