id1,id2,similarity,relation
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-MAR288703_Tender_MAR288703,HIGH,1
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-038622-2019_Tender_038622-2019_td,HIGH,2
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-011869-2019_Tender_011869-2019_td,HIGH,3
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-096007-2019_Tender_096007-2019_td,HIGH,4
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-JAN342458_Tender_JAN342458,HIGH,5
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-FEB284875_Tender_FEB284875,MEDIUM,7
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0020-csw-jets_7167_Tender_csw-jets_7167,MEDIUM,8
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-FEB344622_Tender_FEB344622,MEDIUM,9
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-007397-2019_Tender_007397-2019_td,MEDIUM,10
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-FEB284874_Tender_FEB284874,MEDIUM,11
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-002672-2019_Tender_002672-2019_td,MEDIUM,12
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-FEB285287_Tender_FEB285287,MEDIUM,13
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-JAN281673_Tender_JAN281673,MEDIUM,14
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-012224-2019_Tender_012224-2019_td,MEDIUM,15
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0009-DN370863-2_Tender_DN370863-2,MEDIUM,16
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-011742-2019_Tender_011742-2019_td,MEDIUM,17
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-FEB283377_Tender_FEB283377,MEDIUM,18
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-FEB285503_Tender_FEB285503,LOW,25
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-FEB285418_Tender_FEB285418,LOW,26
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0022-FEB285545_Tender_FEB285545,LOW,27
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-046386-2019_Tender_046386-2019_td,LOW,28
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0020-britishcouncil_774_Tender_britishcouncil_774,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000025-2019_Tender_000025-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000218-2019_Tender_000218-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000219-2019_Tender_000219-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000222-2019_Tender_000222-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000223-2019_Tender_000223-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0012-305365_Tender_305365,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0012-308428_Tender_308428,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0012-310682_Tender_310682,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0012-315206_Tender_315206,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0012-316017_Tender_316017,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0012-319289_Tender_319289,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000075-2019_Tender_000075-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000143-2019_Tender_000143-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000179-2019_Tender_000179-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000250-2019_Tender_000250-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000256-2019_Tender_000256-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0133-000258-2019_Tender_000258-2019_td,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0119-158648_Tender_158648,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0119-159098_Tender_159098,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0119-159555_Tender_159555,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0119-159656_Tender_159656,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0119-160373_Tender_160373,NONE,34
ocds-0c46vo-0005-39393_Tender_39393,ocds-0c46vo-0119-160464_Tender_160464,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0022-JAN280239_Tender_JAN280239,HIGH,1
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0133-002521-2019_Tender_002521-2019_td,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0133-011876-2019_Tender_011876-2019_td,HIGH,3
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0102-CSL_2019_04nhP4DSjy_Tender_CSL_2019_04nhP4DSjy,MEDIUM,7
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0022-FEB285290_Tender_FEB285290,LOW,25
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0105-568377_Tender_568377,MEDIUM,9
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0064-19-51567_Tender_19-51567,MEDIUM,10
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0022-FEB284721_Tender_FEB284721,LOW,26
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0009-DN379053-2_Tender_DN379053-2,MEDIUM,14
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0020-britishcouncil_774_Tender_britishcouncil_774,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0133-000218-2019_Tender_000218-2019_td,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0133-000219-2019_Tender_000219-2019_td,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0012-305365_Tender_305365,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0012-308428_Tender_308428,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0012-310682_Tender_310682,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0133-000075-2019_Tender_000075-2019_td,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0133-000143-2019_Tender_000143-2019_td,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0133-000179-2019_Tender_000179-2019_td,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0119-158648_Tender_158648,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0119-159098_Tender_159098,NONE,34
ocds-0c46vo-0005-40737_Tender_40737,ocds-0c46vo-0119-159555_Tender_159555,NONE,34
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0133-095535-2019_Tender_095535-2019_td,HIGH,1
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0133-050554-2019_Tender_050554-2019_td,NONE,34
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0133-132773-2019_Tender_132773-2019_td,HIGH,4
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0133-103485-2019_Tender_103485-2019_td,MEDIUM,7
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0064-19-40209_Tender_19-40209,MEDIUM,8
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0133-034389-2019_Tender_034389-2019_td,MEDIUM,9
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0064-19-49214_Tender_19-49214,MEDIUM,10
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0133-025935-2019_Tender_025935-2019_td,MEDIUM,13
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0133-012216-2019_Tender_012216-2019_td,MEDIUM,14
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0022-JAN281686_Tender_JAN281686,MEDIUM,15
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0009-DN398295-1_Tender_DN398295-1,MEDIUM,16
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0022-FEB285619_Tender_FEB285619,LOW,25
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0022-FEB285222_Tender_FEB285222,LOW,26
ocds-0c46vo-0005-40993_Tender_40993,ocds-0c46vo-0020-britishcouncil_774_Tender_britishcouncil_774,NONE,34
